List of Designated Securities Eligible for Short Selling,
Effective date : 11/09/2026,
Note : Delisted securities excluded,

No.,Stock Code,Stock Short Name,Currency,Type,Exempt from Tick Rule,Remarks
373,1880,CTG DUTY-FREE,HKD,EQTY,,,
374,1882,HAITIAN INT'L,HKD,EQTY,,,
375,1883,CITIC TELECOM,HKD,EQTY,,,
376,1888,KB LAMINATES,HKD,EQTY,,,
377,1896,MAOYAN ENT,HKD,EQTY,,,
378,1898,CHINA COAL,HKD,EQTY,,,
379,1907,CHINA RISUN GP,HKD,EQTY,,,
380,1908,C&D INTL GROUP,HKD,EQTY,,,
381,1910,SAMSONITE,HKD,EQTY,,,
382,1913,PRADA,HKD,EQTY,,,
383,1918,SUNAC,HKD,EQTY,,,
384,1919,COSCO SHIP HOLD,HKD,EQTY,,,
385,1921,DALIPAL HLDG,HKD,EQTY,,,
386,1928,SANDS CHINA LTD,HKD,EQTY,,,
387,1929,CHOW TAI FOOK,HKD,EQTY,,,
388,1948,UJU HOLDING,HKD,EQTY,,,
389,1951,JXR,HKD,EQTY,,,
390,1952,EVEREST MED,HKD,EQTY,,,
391,1956,WENGE AI,HKD,EQTY,,Add,
392,1958,BAIC MOTOR,HKD,EQTY,,,
393,1959,ZHONG JU INVEST,HKD,EQTY,,,
394,1963,BCQ,HKD,EQTY,,,
395,1972,SWIREPROPERTIES,HKD,EQTY,,,
396,1988,MINSHENG BANK,HKD,EQTY,,,
397,1989,DELTON,HKD,EQTY,,,
398,1995,ES SERVICES,HKD,EQTY,,,
399,1997,WHARF REIC,HKD,EQTY,,,
400,1999,MAN WAH HLDGS,HKD,EQTY,,,
401,2005,SSY GROUP,HKD,EQTY,,,
402,2007,COUNTRY GARDEN,HKD,EQTY,,,
403,2009,BBMG,HKD,EQTY,,,
404,2013,WEIMOB INC,HKD,EQTY,,,
405,2015,LI AUTO-W,HKD,EQTY,,,
406,2016,CZBANK,HKD,EQTY,,,
407,2018,AAC TECH,HKD,EQTY,,,
408,2020,ANTA SPORTS,HKD,EQTY,,,
409,2025,RUIFENG POWER,HKD,EQTY,,,
410,2026,PONY-W,HKD,EQTY,,,
411,2038,FIH,HKD,EQTY,,,
412,2039,CIMC,HKD,EQTY,,,
413,2050,SANHUA,HKD,EQTY,,,
414,2057,ZTO EXPRESS-W,HKD,EQTY,,,
415,2076,BOSS ZHIPIN-W,HKD,EQTY,,,
416,2096,SIMCERE PHARMA,HKD,EQTY,,,
417,2097,MIXUE GROUP,HKD,EQTY,,,
418,2099,CHINAGOLDINTL,HKD,EQTY,,,
419,2105,LAEKNA-B,HKD,EQTY,,,
420,2128,CHINA LESSO,HKD,EQTY,,,
421,2142,HBM HOLDINGS-B,HKD,EQTY,,,
422,2145,CHICMAX,HKD,EQTY,,,
423,2155,MORIMATSU INTL,HKD,EQTY,,,
424,2156,C&D PROPERTY,HKD,EQTY,,,
425,2157,LEPU BIO,HKD,EQTY,,,
426,2158,YIDU TECH,HKD,EQTY,,,
427,2160,MP CARDIOFLOW-B,HKD,EQTY,,,
428,2162,KEYMED BIO-B,HKD,EQTY,,,
429,2171,CARSGEN-B,HKD,EQTY,,,
430,2172,MICROPORT NEURO,HKD,EQTY,,,
431,2179,RECBIO-B,HKD,EQTY,,Add,
432,2186,LUYE PHARMA,HKD,EQTY,,,
433,2190,ZYLOXTB,HKD,EQTY,,,
434,2191,SF REIT,HKD,TRST,,,
435,2192,MEDLIVE,HKD,EQTY,,,
436,2196,FOSUN PHARMA,HKD,EQTY,,,
437,2198,CHINA SANJIANG,HKD,EQTY,,,
438,2202,CHINA VANKE,HKD,EQTY,,,
439,2208,GOLDWIND,HKD,EQTY,,,
440,2225,JINHAI MED TECH,HKD,EQTY,,,
441,2228,XTALPI,HKD,EQTY,,,
442,2232,CRYSTAL INTL,HKD,EQTY,,,
443,2233,WESTCHINACEMENT,HKD,EQTY,,,
444,2238,GAC GROUP,HKD,EQTY,,,
445,2245,LYGEND RESOURCE,HKD,EQTY,,,
446,2252,MEDBOT-B,HKD,EQTY,,,
447,2255,HAICHANG HLDG,HKD,EQTY,,,
448,2256,ABBISKO-B,HKD,EQTY,,,
449,2259,ZIJIN GOLD INTL,HKD,EQTY,,,
450,2268,WUXI XDC,HKD,EQTY,,,
451,2269,WUXI BIO,HKD,EQTY,,,
452,2273,GUSHENGTANG,HKD,EQTY,,,
453,2276,CONANT OPTICAL,HKD,EQTY,,,
454,2282,MGM CHINA,HKD,EQTY,,,
455,2285,CHERVON,HKD,EQTY,,,
456,2291,SCIENTECH,HKD,EQTY,,,
457,2299,BILLION IND,HKD,EQTY,,,
458,2313,SHENZHOU INTL,HKD,EQTY,,,
459,2314,LEE & MAN PAPER,HKD,EQTY,,,
460,2315,BIOCYTOGEN-B,HKD,EQTY,,,
461,2318,PING AN,HKD,EQTY,,,
462,2319,MENGNIU DAIRY,HKD,EQTY,,,
463,2328,PICC P&C,HKD,EQTY,,,
464,2331,LI NING,HKD,EQTY,,,
465,2333,GWMOTOR,HKD,EQTY,,,
466,2338,WEICHAI POWER,HKD,EQTY,,,
467,2342,COMBA,HKD,EQTY,,,
468,2343,PACIFIC BASIN,HKD,EQTY,,,
469,2356,DAHSING BANKING,HKD,EQTY,,,
470,2357,AVICHINA,HKD,EQTY,,,
471,2359,WUXI APPTEC,HKD,EQTY,,,
472,2367,GIANT BIOGENE,HKD,EQTY,,,
473,2373,BEAUTYFARM MED,HKD,EQTY,,,
474,2378,PRU,HKD,EQTY,,,
475,2380,CHINA POWER,HKD,EQTY,,,
476,2382,SUNNY OPTICAL,HKD,EQTY,,,
477,2386,SINOPEC SEG,HKD,EQTY,,,
478,2388,BOC HONG KONG,HKD,EQTY,,,
479,2391,TUYA-W,HKD,EQTY,,,
